,Name,Description
0,Acinetobacter baumannii,"Acinetobacter baumannii is a typically short, almost round, rod-shaped (coccobacillus) Gram-negative bacterium. It is named after the bacteriologist Paul Baumann. It can be an opportunistic pathogen in humans, affecting people with compromised immune systems, and is becoming increasingly important as a hospital-derived (nosocomial) infection. While other species of the genus Acinetobacter are often found in soil samples (leading to the common misconception that A. baumannii is a soil organism, too), it is almost exclusively isolated from hospital environments. Although occasionally it has been found in environmental soil and water samples, its natural habitat is still not known.
Bacteria of this genus lack flagella, whip-like structures many bacteria use for locomotion, but exhibit twitching or swarming motility. This may be due to the activity of type IV pili, pole-like structures that can be extended and retracted. Motility in A. baumannii may also be due to the excretion of exopolysaccharide, creating a film of high-molecular-weight sugar chains behind the bacterium to move forward. Clinical microbiologists typically differentiate members of the genus Acinetobacter from other Moraxellaceae by performing an oxidase test, as Acinetobacter spp. are the only members of the Moraxellaceae to lack cytochrome c oxidases.A. baumannii is part of the ACB complex (A. baumannii, A. calcoaceticus, and Acinetobacter genomic species 13TU). It is difficult to determine the specific species of members of the ACB complex and they comprise the most clinically relevant members of the genus. A. baumannii has also been identified as an ESKAPE pathogen (Enterococcus faecium, Staphylococcus aureus, Klebsiella pneumoniae, Acinetobacter baumannii, Pseudomonas aeruginosa, and Enterobacter species), a group of pathogens with a high rate of antibiotic resistance that are responsible for the majority of nosocomial infections.Colloquially, A. baumannii is referred to as ""Iraqibacter"" due to its seemingly sudden emergence in military treatment facilities during the Iraq War. It has continued to be an issue for veterans and soldiers who served in Iraq and Afghanistan. Multidrug-resistant A. baumannii has spread to civilian hospitals in part due to the transport of infected soldiers through multiple medical facilities. During the COVID-19 pandemic, coinfection with A. baumannii secondary to SARS-CoV-2 infections has been reported multiple times in literature."
1,Actinomyces israelii,"Actinomyces israelii is a species of Gram-positive, rod-shaped bacteria within the genus Actinomyces.  Known to live commensally on and within humans, A. israelii is an opportunistic pathogen and a cause of actinomycosis.  Many physiologically diverse strains of the species are known to exist, though not all are strict anaerobes. It was named after the German surgeon James Adolf Israel (1848–1926), who studied the organism for the first time in 1878."
2,Agrobacterium tumefaciens,"Agrobacterium radiobacter (more commonly known as Agrobacterium tumefaciens) is the causal agent of crown gall disease (the formation of tumours) in over 140 species of eudicots. It is a rod-shaped, Gram-negative soil bacterium. Symptoms are caused by the insertion of a small segment of DNA (known as the T-DNA, for 'transfer DNA', not to be confused with tRNA that transfers amino acids during protein synthesis), from a plasmid into the plant cell, which is incorporated at a semi-random location into the plant genome. Plant genomes can be engineered by use of Agrobacterium for the delivery of sequences hosted in T-DNA binary vectors.
Agrobacterium tumefaciens is an alphaproteobacterium of the family Rhizobiaceae, which includes the nitrogen-fixing legume symbionts.  Unlike the nitrogen-fixing symbionts, tumor-producing Agrobacterium species are pathogenic and do not benefit the plant.  The wide variety of plants affected by Agrobacterium makes it of great concern to the agriculture industry.Economically, A. tumefaciens is a serious pathogen of walnuts, grape vines, stone fruits, nut trees, sugar beets, horse radish, and rhubarb, and the persistent nature of the tumors or galls caused by the disease make it particularly harmful for perennial crops.Agrobacterium tumefaciens grows optimally at 28 °C. The doubling time can range from 2.5–4h depending on the media, culture format, and level of aeration. At temperatures above 30 °C, A. tumefaciens begins to experience heat shock which is likely to result in errors in cell division."
3,Anaplasma,"Anaplasma is a genus of bacteria of the alphaproteobacterial order Rickettsiales, family Anaplasmataceae.
Anaplasma species reside in host blood cells and lead to the disease anaplasmosis. The disease most commonly occurs in areas where competent tick vectors are indigenous, including tropical and semitropical areas of the world for intraerythrocytic Anaplasma spp.Anaplasma species are biologically transmitted by Ixodes deer-tick vectors, and the prototypical species, A. marginale, can be mechanically transmitted by biting flies and iatrogenically with blood-contaminated instruments. One of the major consequences of infection by bovine red blood cells by A. marginale is the development of nonhaemolytic anaemia, thus the absence of hemoglobinuria, which allows clinical differentiation from another major tick-borne disease, bovine babesiosis, caused by Babesia bigemina.Species of veterinary interest include:

Anaplasma marginale and Anaplasma centrale in cattle
Anaplasma ovis and Anaplasma mesaeterum in sheep and goats
Anaplasma phagocytophilum in dogs, cats, and horses (see human granulocytic anaplasmosis)
Anaplasma platys in dogs"
4,Anaplasma phagocytophilum,"Anaplasma phagocytophilum (formerly Ehrlichia phagocytophilum) is a Gram-negative bacterium that is unusual in its tropism to neutrophils. It causes anaplasmosis in sheep and cattle, also known as tick-borne fever and pasture fever, and also causes the zoonotic disease human granulocytic anaplasmosis.A. phagocytophilum is a Gram-negative, obligate bacterium of neutrophils. It causes human granulocytic anaplasmosis, which is a tick-borne rickettsial disease. Because this bacterium invades neutrophils, it has a unique adaptation and pathogenetic mechanism."
5,Azorhizobium caulinodans,"Azorhizobium caulinodans is a species of bacteria that forms a nitrogen-fixing symbiosis with plants of the genus Sesbania. The symbiotic relationship between Sesbania rostrata and A. caulinodans lead to nitrogen fixing nodules in S. rostrata. Bacterial chemotaxis plays an important role in establishing this symbiotic relationship.Azorhizobium caulinodans is a genome and it contains chemotaxis gene clusters that are unique. It has five chemotaxis genes which are: cheW(1), cheW, cheA, cheR, and cheB. Azorhizobium caulinodans controls the movements of flagella, and the chemotaxis signaling path in Azorhizobium caulinodans helps with regulating biofilm formation."
6,Azotobacter vinelandii,"Azotobacter vinelandii is Gram-negative diazotroph that can fix nitrogen while grown aerobically. These bacteria are easily cultured and grown.
A. vinelandii is a free-living N2 fixer known to produce many phytohormones and vitamins in soils.  It produces fluorescent pyoverdine pigments."
7,Bacillus,"Bacillus (Latin ""stick"") is a genus of Gram-positive, rod-shaped bacteria, a member of the phylum Bacillota, with 266 named species. The term is also used to describe the shape (rod) of certain bacteria; and the plural Bacilli is the name of the class of bacteria to which this genus belongs.  Bacillus species can be either obligate aerobes: oxygen dependent;  or facultative anaerobes: having the ability to continue living in the absence of oxygen. Cultured Bacillus species test positive for the enzyme catalase if oxygen has been used or is present.Bacillus can reduce themselves to oval endospores and can remain in this dormant state for years. The endospore of one species from Morocco is reported to have survived being heated to 420 °C. Endospore formation is usually triggered by a lack of nutrients: the bacterium divides within its cell wall, and one side then engulfs the other. They are not true spores (i.e., not an offspring).  Endospore formation originally defined the genus, but not all such species are closely related, and many species have been moved to other genera of the Bacillota. Only one endospore is formed per cell. The spores are resistant to heat, cold, radiation, desiccation, and disinfectants. Bacillus anthracis needs oxygen to sporulate; this constraint has important consequences for epidemiology and control. In vivo, B. anthracis produces a polypeptide (polyglutamic acid) capsule that kills it from phagocytosis. The genera Bacillus and Clostridium constitute the family Bacillaceae. Species are identified by using morphologic and biochemical criteria. Because the spores of many Bacillus species are resistant to heat, radiation, disinfectants, and desiccation, they are difficult to eliminate from medical and pharmaceutical materials and are a frequent cause of contamination. Not only are they resistant to heat, radiation, etc., but they are also resistant to chemicals such as antibiotics. This resistance allows them to survive for many years and especially in a controlled environment. Bacillus species are well known in the food industries as troublesome spoilage organisms.Ubiquitous in nature, Bacillus includes symbiotic(sometimes referred to as endophytes) as well as independent species. Two parasitic pathogenic species are medically significant: B. anthracis causes anthrax; and B. cereus causes food poisoning.
Many species of Bacillus can produce copious amounts of enzymes, which are used in various industries, such as in the production of alpha amylase used in starch hydrolysis and the protease subtilisin used in detergents. B. subtilis  is a valuable model for bacterial research. 
Some Bacillus species can synthesize and secrete lipopeptides, in particular surfactins and mycosubtilins. Bacillus species are also found in marine sponges. Marine sponge associated Bacillus subtilis (strains WS1A and YBS29) can synthesize several antimicrobial peptides. These Bacillus subtilis strains can develop disease resistance in Labeo rohita."
8,Bacillus anthracis,"Bacillus anthracis is a Gram-positive and rod-shaped bacterium that causes anthrax, a deadly disease to livestock and, occasionally, to humans. It is the only permanent (obligate) pathogen within the genus Bacillus. Its infection is a type of zoonosis, as it is transmitted from animals to humans. It was discovered by a German physician Robert Koch in 1876, and became the first bacterium to be experimentally shown as a pathogen. The discovery was also the first scientific evidence for the germ theory of diseases.B. anthracis measures about 3 to 5 μm long and 1 to 1.2 μm wide.  The reference genome consists of a 5,227,419 bp circular chromosome and two extrachromosomal DNA plasmids, pXO1 and pXO2, of 181,677 and 94,830 bp respectively, which are responsible for the pathogenicity. It forms a protective layer called endospore by which it can remain inactive for many years and suddenly becomes infective under suitable environmental conditions. Because of the resilience of the endospore, the bacterium is one of the most popular biological weapons. The protein capsule (poly-D-gamma-glutamic acid) is key to evasion of the immune response. It feeds on the heme of blood protein haemoglobin using two secretory siderophore proteins, IsdX1 and IsdX2.

Untreated B. anthracis infection is usually deadly. Infection is indicated by inflammatory, black, necrotic lesion (eschar). The sores usually appear on the face, neck, arms, or hands. The fatal symptoms include flu-like fever, chest discomfort, diaphoresis, and body aches. The first animal vaccine against anthrax was developed by French chemist Louis Pasteur in 1881. Different animal and human vaccines are now available. The infection can be treated with common antibiotics such as penicillins, quinolones, and tetracyclines."
9,Bacillus cereus,"Bacillus cereus is a Gram-positive, rod-shaped, facultatively anaerobic, motile, beta-hemolytic, spore-forming bacterium commonly found in soil, food and marine sponges. The specific name, cereus, meaning ""waxy"" in Latin, refers to the appearance of colonies grown on blood agar. Some strains are harmful to humans and cause foodborne illness, while other strains can be beneficial as probiotics for animals. The bacteria is classically contracted from fried rice dishes that have been sitting at room temperature for hours. B. cereus bacteria are facultative anaerobes, and like other members of the genus Bacillus, can produce protective endospores. Its virulence factors include phospholipase C, cereulide, sphingomyelinase,  metalloproteases, and cytotoxin K.The Bacillus cereus group comprises seven closely related species: B. cereus sensu stricto (referred to herein as B. cereus), B. anthracis, B. thuringiensis, B. mycoides, B. pseudomycoides, and B. cytotoxicus; or as six species in a Bacillus cereus sensu lato: B. weihenstephanensis, B. mycoides, B. pseudomycoides, B. cereus, B. thuringiensis, and B. anthracis."
