,Name,Description
0,Bacteriophage,"A bacteriophage (), also known informally as a phage (), is a virus that infects and replicates within bacteria and archaea. The term was derived from ""bacteria"" and the Greek φαγεῖν (phagein), meaning ""to devour"". Bacteriophages are composed of proteins that encapsulate a DNA or RNA genome, and may have structures that are either simple or elaborate. Their genomes may encode as few as four genes (e.g. MS2) and as many as hundreds of genes. Phages replicate within the bacterium following the injection of their genome into its cytoplasm.
Bacteriophages are among the most common and diverse entities in the biosphere. Bacteriophages are ubiquitous viruses, found wherever bacteria exist. It is estimated there are more than 1031 bacteriophages on the planet, more than every other organism on Earth, including bacteria, combined. Viruses are the most abundant biological entity in the water column of the world's oceans, and the second largest component of biomass after prokaryotes, where up to 9x108 virions per millilitre have been found in microbial mats at the surface, and up to 70% of marine bacteria may be infected by phages.Phages have been used since the late 20th century as an alternative to antibiotics in the former Soviet Union and Central Europe, as well as in France. They are seen as a possible therapy against multi-drug-resistant strains of many bacteria (see phage therapy).
Phages are known to interact with the immune system both indirectly via bacterial expression of phage-encoded proteins and directly by influencing innate immunity and bacterial clearance."
1,Bacillus virus AP50,"Bacillus virus AP50 is a species of bacteriophage that infects Bacillus anthracis bacteria. Originally thought to be an RNA phage, it contains a DNA genome of about 14,000 base pairs in an icosahedral capsid with a two-layer capsid shell.


== References =="
2,Bacteriophage AP205,"Bacteriophage AP205 is a bacteriophage that infects Acinetobacter bacteria. Contains a genome linear of positive single-stranded RNA. The bacteriophage belongs to the genus Apeevirus of the Duinviridae family and is the type species of the family.


== References =="
3,Bacteriophage f2,"Bacteriophage f2 is an icosahedral, positive-sense single-stranded RNA virus that infects the bacterium Escherichia coli.  It is closely related to bacteriophage MS2 and assigned to the same species."
4,Bacteriophage MS2,"Bacteriophage MS2 (Emesvirus zinderi), commonly called MS2, is an icosahedral, positive-sense single-stranded RNA virus that infects the bacterium Escherichia coli and other members of the Enterobacteriaceae. MS2 is a member of a family of closely related bacterial viruses that includes bacteriophage f2, bacteriophage Qβ, R17, and GA."
5,Bacteriophage Mu,"Bacteriophage Mu, also known as mu phage or mu bacteriophage, is a muvirus (the first of its kind to be identified) of the family Myoviridae which has been shown to cause genetic transposition. It is of particular importance as its discovery in Escherichia coli by Larry Taylor was among the first observations of insertion elements in a genome. This discovery opened up the world to an investigation of transposable elements and their effects on a wide variety of organisms. While Mu was specifically involved in several distinct areas of research (including E. coli, maize, and HIV), the wider implications of transposition and insertion transformed the entire field of genetics."
6,Bacteriophage pRNA,"Bacteriophage pRNA is a ncRNA element. During replication of linear dsDNA viruses, the viral genome is packaged into the pre-formed viral procapsid. The packaging of DNA into the procapsid requires a molecular motor, which uses ATP as energy to accomplish the energetically unfavorable motion.  In some bacteriophage, an RNA (pRNA) molecule is a vital component of this motor. Structural analyses of the packaging motor have demonstrated that the pRNA molecule has fivefold symmetry when attached to the prohead. The pRNA is thought to be bound by the capsid connector protein. Only the first 120 bases of the pRNA are essential for packing the viral DNA.  The pRNA is proposed to be composed of two domains, one corresponding to the first 120 bases and the second to the remaining 50 bases. Nuclear cleavage occurs in the single strand region linking these two domains."
7,Bacteriophage Qbeta,"Bacteriophage Qbeta (Qubevirus durum), commonly referred to as Qbeta or Qβ, is a positive-strand RNA virus which infects bacteria that have F-pili, most commonly Escherichia coli. Its linear genome is packaged into an icosahedral capsid with a diameter of 28 nm. Bacteriophage Qβ enters its host cell after binding to the side of the F-pilus."
8,Bacteriophage T12,"Bacteriophage T12 is a bacteriophage that infects the bacterial species Streptococcus pyogenes. It is a proposed species of the family Siphoviridae in order Caudovirales (viruses with head-tail structure).
It converts a harmless strain of bacteria into a virulent strain. It carries the speA gene which codes for erythrogenic toxin A. speA is also known as streptococcal pyogenic exotoxin A, scarlet fever toxin A, or even scarlatinal toxin. Note that the name of the gene ""speA"" is italicized; the name of the toxin ""speA"" is not italicized. Erythrogenic toxin A converts a harmless, non-virulent strain of Streptococcus pyogenes to a virulent strain through lysogeny, a life cycle which is characterized by the ability of the genome to become a part of the host cell and be stably maintained there for generations. Phages with a lysogenic life cycle are also called temperate phages. Bacteriophage T12, proposed member of  family Siphoviridae including related speA-carrying bacteriophages, is also a prototypic phage for all the speA-carrying phages of Streptococcus pyogenes, meaning that its genome is the prototype for the genomes of all such phages of S. pyogenes. It is the main suspect as the cause of scarlet fever, an infectious disease that affects small children."
9,Bacteriophage φCb5,"Bacteriophage φCb5 is a bacteriophage that infects Caulobacter bacteria and other caulobacteria. The bacteriophage was discovered in 1970, it belongs to the genus Cebevirus of the Steitzviridae family and is the type species of the family. The bacteriophage is widely distributed in the soil, freshwater lakes, streams and seawater, places where caulobacteria inhabit and can be sensitive to salinity."
